input_reaction_separated,input_reaction_combined,product_1_tokenized,product_2_tokenized
c 1 c ( C ( = O ) O C ) c c ( c c 1 Br ) S ( N ) ( = O ) = O . c 1 ( c c c ( c c 1 ) O C ) B ( O ) O > C O . C C # N . C ( # N ) C . N # C C . N # C C . F [P-] ( F ) ( F ) ( F ) ( F ) F . [Cu+] . C C N ( C ( C ) C ) C ( C ) C,C C N ( C ( C ) C ) C ( C ) C . c 1 c ( C ( = O ) O C ) c c ( c c 1 Br ) S ( N ) ( = O ) = O . C O . c 1 ( c c c ( c c 1 ) O C ) B ( O ) O . C C # N . C ( # N ) C . N # C C . N # C C . F [P-] ( F ) ( F ) ( F ) ( F ) F . [Cu+],C O C ( = O ) c 1 c c ( Br ) c c ( S ( = O ) ( = O ) N c 2 c c c ( O C ) c c 2 ) c 1,C O C ( = O ) c 1 c c ( Br ) c c ( S ( = O ) ( = O ) N ( c 2 c c c ( O C ) c c 2 ) c 2 c c c ( O C ) c c 2 ) c 1
C ( C S ( N ) ( = O ) = O ) C C O C . O B ( O ) c 1 c c c ( O C ) c c 1 > C C N ( C C ) C C . F C ( F ) ( F ) S ( = O ) ( = O ) [O-] . F C ( F ) ( S ( [O-] ) ( = O ) = O ) F . [Cu+2] . C C # N,F C ( F ) ( F ) S ( = O ) ( = O ) [O-] . F C ( F ) ( S ( [O-] ) ( = O ) = O ) F . [Cu+2] . O B ( O ) c 1 c c c ( O C ) c c 1 . C ( C S ( N ) ( = O ) = O ) C C O C . C C # N . C C N ( C C ) C C,C O C C C C S ( = O ) ( = O ) N c 1 c c c ( O C ) c c 1,C O C C C C S ( = O ) ( = O ) N ( c 1 c c c ( O C ) c c 1 ) c 1 c c c ( O C ) c c 1
c 1 c c ( c c c 1 B ( O ) O ) O C . O = S ( = O ) ( c 1 n c ( F ) c c c 1 ) N > Cl C C Cl . O = S ( [O-] ) ( C ( F ) ( F ) F ) = O . F C ( F ) ( S ( = O ) ( = O ) [O-] ) F . [Cu+2] . O = C ( [O-] ) [O-] . [K+] . [K+],c 1 c c ( c c c 1 B ( O ) O ) O C . O = S ( [O-] ) ( C ( F ) ( F ) F ) = O . F C ( F ) ( S ( = O ) ( = O ) [O-] ) F . [Cu+2] . Cl C C Cl . O = C ( [O-] ) [O-] . [K+] . [K+] . O = S ( = O ) ( c 1 n c ( F ) c c c 1 ) N,C O c 1 c c c ( N S ( = O ) ( = O ) c 2 c c c c ( F ) n 2 ) c c 1,C O c 1 c c c ( N ( c 2 c c c ( O C ) c c 2 ) S ( = O ) ( = O ) c 2 c c c c ( F ) n 2 ) c c 1
c 1 c ( C ( = O ) O C ) c c ( c c 1 S ( = O ) ( = O ) N ) Br . c 1 ( B ( O ) O ) c c c ( O C ) c c 1 > C C O C ( C ) = O . C ( C ) # N . C ( # N ) C . N # C C . C ( # N ) C . F [P-] ( F ) ( F ) ( F ) ( F ) F . [Cu+] . C N ( C ) c 1 c c n c c 1,c 1 ( B ( O ) O ) c c c ( O C ) c c 1 . c 1 c ( C ( = O ) O C ) c c ( c c 1 S ( = O ) ( = O ) N ) Br . C ( C ) # N . C ( # N ) C . N # C C . C ( # N ) C . F [P-] ( F ) ( F ) ( F ) ( F ) F . [Cu+] . C C O C ( C ) = O . C N ( C ) c 1 c c n c c 1,C O C ( = O ) c 1 c c ( Br ) c c ( S ( = O ) ( = O ) N c 2 c c c ( O C ) c c 2 ) c 1,C O C ( = O ) c 1 c c ( Br ) c c ( S ( = O ) ( = O ) N ( c 2 c c c ( O C ) c c 2 ) c 2 c c c ( O C ) c c 2 ) c 1
F C ( F ) ( c 1 c c c ( B ( O ) O ) c c 1 ) F . C ( C S ( N ) ( = O ) = O ) N ( C ) C > Cl C C Cl . F C ( F ) ( S ( [O-] ) ( = O ) = O ) F . O = S ( = O ) ( C ( F ) ( F ) F ) [O-] . [Cu+2] . O = P ( [O-] ) ( [O-] ) [O-] . [K+] . [K+] . [K+],C ( C S ( N ) ( = O ) = O ) N ( C ) C . F C ( F ) ( c 1 c c c ( B ( O ) O ) c c 1 ) F . Cl C C Cl . O = P ( [O-] ) ( [O-] ) [O-] . [K+] . [K+] . [K+] . F C ( F ) ( S ( [O-] ) ( = O ) = O ) F . O = S ( = O ) ( C ( F ) ( F ) F ) [O-] . [Cu+2],C N ( C ) C C S ( = O ) ( = O ) N c 1 c c c ( C ( F ) ( F ) F ) c c 1,C N ( C ) C C S ( = O ) ( = O ) N ( c 1 c c c ( C ( F ) ( F ) F ) c c 1 ) c 1 c c c ( C ( F ) ( F ) F ) c c 1
F c 1 c c c c ( S ( = O ) ( N ) = O ) n 1 . c 1 c c ( c c c 1 O C ) B ( O ) O > C C N ( C C ) C C . C ( # N ) C . N # C C . C C # N . N # C C . F [P-] ( F ) ( F ) ( F ) ( F ) F . [Cu+] . C O,C C N ( C C ) C C . c 1 c c ( c c c 1 O C ) B ( O ) O . C O . C ( # N ) C . N # C C . C C # N . N # C C . F [P-] ( F ) ( F ) ( F ) ( F ) F . [Cu+] . F c 1 c c c c ( S ( = O ) ( N ) = O ) n 1,C O c 1 c c c ( N S ( = O ) ( = O ) c 2 c c c c ( F ) n 2 ) c c 1,C O c 1 c c c ( N ( c 2 c c c ( O C ) c c 2 ) S ( = O ) ( = O ) c 2 c c c c ( F ) n 2 ) c c 1
I c 1 c ( c c c c 1 ) S ( N ) ( = O ) = O . c 1 ( c c c ( B ( O ) O ) c c 1 ) C ( F ) ( F ) F > O = C ( [O-] ) [O-] . [K+] . [K+] . N # C C . C ( # N ) C . C ( C ) # N . C C # N . F [P-] ( F ) ( F ) ( F ) ( F ) F . [Cu+] . C C # N,O = C ( [O-] ) [O-] . [K+] . [K+] . N # C C . C ( # N ) C . C ( C ) # N . C C # N . F [P-] ( F ) ( F ) ( F ) ( F ) F . [Cu+] . c 1 ( c c c ( B ( O ) O ) c c 1 ) C ( F ) ( F ) F . C C # N . I c 1 c ( c c c c 1 ) S ( N ) ( = O ) = O,O = S ( = O ) ( N c 1 c c c ( C ( F ) ( F ) F ) c c 1 ) c 1 c c c c c 1 I,O = S ( = O ) ( c 1 c c c c c 1 I ) N ( c 1 c c c ( C ( F ) ( F ) F ) c c 1 ) c 1 c c c ( C ( F ) ( F ) F ) c c 1
O B ( c 1 c c c ( C ( F ) ( F ) F ) c c 1 ) O . O = S ( = O ) ( N ) C C N ( C ) C > O = S ( = O ) ( C ( F ) ( F ) F ) [O-] . C ( F ) ( F ) ( F ) S ( = O ) ( = O ) [O-] . [Cu+2] . C C # N . C C N ( C ( C ) C ) C ( C ) C,O B ( c 1 c c c ( C ( F ) ( F ) F ) c c 1 ) O . O = S ( = O ) ( N ) C C N ( C ) C . C C # N . O = S ( = O ) ( C ( F ) ( F ) F ) [O-] . C ( F ) ( F ) ( F ) S ( = O ) ( = O ) [O-] . [Cu+2] . C C N ( C ( C ) C ) C ( C ) C,C N ( C ) C C S ( = O ) ( = O ) N c 1 c c c ( C ( F ) ( F ) F ) c c 1,C N ( C ) C C S ( = O ) ( = O ) N ( c 1 c c c ( C ( F ) ( F ) F ) c c 1 ) c 1 c c c ( C ( F ) ( F ) F ) c c 1
C C O C ( = O ) c 1 c c c c c 1 S ( N ) ( = O ) = O . O B ( O ) c 1 c c c ( C ( F ) ( F ) F ) c c 1 > C C # N . O = C ( [O-] ) [O-] . [K+] . [K+] . O = S ( = O ) ( [O-] ) C ( F ) ( F ) F . O = S ( = O ) ( [O-] ) C ( F ) ( F ) F . [Cu+2],O = C ( [O-] ) [O-] . [K+] . [K+] . O = S ( = O ) ( [O-] ) C ( F ) ( F ) F . O = S ( = O ) ( [O-] ) C ( F ) ( F ) F . [Cu+2] . C C # N . C C O C ( = O ) c 1 c c c c c 1 S ( N ) ( = O ) = O . O B ( O ) c 1 c c c ( C ( F ) ( F ) F ) c c 1,C C O C ( = O ) c 1 c c c c c 1 S ( = O ) ( = O ) N c 1 c c c ( C ( F ) ( F ) F ) c c 1,C C O C ( = O ) c 1 c c c c c 1 S ( = O ) ( = O ) N ( c 1 c c c ( C ( F ) ( F ) F ) c c 1 ) c 1 c c c ( C ( F ) ( F ) F ) c c 1
O B ( O ) c 1 c c c ( C ( F ) ( F ) F ) c c 1 . O ( C ) C ( = O ) c 1 c c ( c c ( Br ) c 1 ) S ( = O ) ( N ) = O > S ( [O-] ) ( = O ) ( C ( F ) ( F ) F ) = O . F C ( F ) ( F ) S ( = O ) ( [O-] ) = O . [Cu+2] . C N ( C ) c 1 c c n c c 1 . C C O C ( C ) = O,O B ( O ) c 1 c c c ( C ( F ) ( F ) F ) c c 1 . C C O C ( C ) = O . S ( [O-] ) ( = O ) ( C ( F ) ( F ) F ) = O . F C ( F ) ( F ) S ( = O ) ( [O-] ) = O . [Cu+2] . O ( C ) C ( = O ) c 1 c c ( c c ( Br ) c 1 ) S ( = O ) ( N ) = O . C N ( C ) c 1 c c n c c 1,C O C ( = O ) c 1 c c ( Br ) c c ( S ( = O ) ( = O ) N c 2 c c c ( C ( F ) ( F ) F ) c c 2 ) c 1,C O C ( = O ) c 1 c c ( Br ) c c ( S ( = O ) ( = O ) N ( c 2 c c c ( C ( F ) ( F ) F ) c c 2 ) c 2 c c c ( C ( F ) ( F ) F ) c c 2 ) c 1
c 1 ( c c c ( C ( F ) ( F ) F ) c c 1 ) B ( O ) O . c 1 c c c ( S ( N ) ( = O ) = O ) n c 1 F > F C ( S ( = O ) ( [O-] ) = O ) ( F ) F . F C ( S ( [O-] ) ( = O ) = O ) ( F ) F . [Cu+2] . C C # N,F C ( S ( = O ) ( [O-] ) = O ) ( F ) F . F C ( S ( [O-] ) ( = O ) = O ) ( F ) F . [Cu+2] . c 1 c c c ( S ( N ) ( = O ) = O ) n c 1 F . C C # N . c 1 ( c c c ( C ( F ) ( F ) F ) c c 1 ) B ( O ) O,O = S ( = O ) ( N c 1 c c c ( C ( F ) ( F ) F ) c c 1 ) c 1 c c c c ( F ) n 1,O = S ( = O ) ( c 1 c c c c ( F ) n 1 ) N ( c 1 c c c ( C ( F ) ( F ) F ) c c 1 ) c 1 c c c ( C ( F ) ( F ) F ) c c 1
c 1 c c ( S ( N ) ( = O ) = O ) c ( O C C O C ) c c 1 . c 1 c ( B ( O ) O ) c c c ( O C ) c 1 > C C N ( C C ) C C . C C O C ( C ) = O . O = S ( [O-] ) ( C ( F ) ( F ) F ) = O . F C ( F ) ( S ( = O ) ( = O ) [O-] ) F . [Cu+2],O = S ( [O-] ) ( C ( F ) ( F ) F ) = O . F C ( F ) ( S ( = O ) ( = O ) [O-] ) F . [Cu+2] . C C N ( C C ) C C . c 1 c c ( S ( N ) ( = O ) = O ) c ( O C C O C ) c c 1 . C C O C ( C ) = O . c 1 c ( B ( O ) O ) c c c ( O C ) c 1,C O C C O c 1 c c c c c 1 S ( = O ) ( = O ) N c 1 c c c ( O C ) c c 1,C O C C O c 1 c c c c c 1 S ( = O ) ( = O ) N ( c 1 c c c ( O C ) c c 1 ) c 1 c c c ( O C ) c c 1
S ( N ) ( = O ) ( = O ) c 1 c n ( c 2 c 1 c c c c 2 ) C . c 1 ( O C ) c c c ( c c 1 ) B ( O ) O > C ( N ( C ) C ) C N ( C ) C . C ( N ( C ) C ) C N ( C ) C . [Cl-] . [Cl-] . [Cu+2] . [Cu+2] . [OH-] . [OH-] . C C # N,c 1 ( O C ) c c c ( c c 1 ) B ( O ) O . C ( N ( C ) C ) C N ( C ) C . C ( N ( C ) C ) C N ( C ) C . [Cl-] . [Cl-] . [Cu+2] . [Cu+2] . [OH-] . [OH-] . S ( N ) ( = O ) ( = O ) c 1 c n ( c 2 c 1 c c c c 2 ) C . C C # N,C O c 1 c c c ( N S ( = O ) ( = O ) c 2 c n ( C ) c 3 c c c c c 2 3 ) c c 1,C O c 1 c c c ( N ( c 2 c c c ( O C ) c c 2 ) S ( = O ) ( = O ) c 2 c n ( C ) c 3 c c c c c 2 3 ) c c 1
c 1 c c ( S ( = O ) ( = O ) N ) c ( C ( O C C ) = O ) c c 1 . c 1 c ( c c c ( c 1 ) O C ) B ( O ) O > C ( F ) ( S ( = O ) ( = O ) [O-] ) ( F ) F . F C ( S ( [O-] ) ( = O ) = O ) ( F ) F . [Cu+2] . C C # N . C C N ( C C ) C C,c 1 c c ( S ( = O ) ( = O ) N ) c ( C ( O C C ) = O ) c c 1 . C C # N . C ( F ) ( S ( = O ) ( = O ) [O-] ) ( F ) F . F C ( S ( [O-] ) ( = O ) = O ) ( F ) F . [Cu+2] . C C N ( C C ) C C . c 1 c ( c c c ( c 1 ) O C ) B ( O ) O,C C O C ( = O ) c 1 c c c c c 1 S ( = O ) ( = O ) N c 1 c c c ( O C ) c c 1,C C O C ( = O ) c 1 c c c c c 1 S ( = O ) ( = O ) N ( c 1 c c c ( O C ) c c 1 ) c 1 c c c ( O C ) c c 1
c 1 ( C ) o n c ( c 1 ) C S ( = O ) ( = O ) N . O B ( O ) c 1 c c c ( O C ) c c 1 > O = C ( [O-] ) [O-] . [K+] . [K+] . C C # N . C C # N . C C # N . N # C C . C C # N . F [P-] ( F ) ( F ) ( F ) ( F ) F . [Cu+],O B ( O ) c 1 c c c ( O C ) c c 1 . C C # N . O = C ( [O-] ) [O-] . [K+] . [K+] . c 1 ( C ) o n c ( c 1 ) C S ( = O ) ( = O ) N . C C # N . C C # N . N # C C . C C # N . F [P-] ( F ) ( F ) ( F ) ( F ) F . [Cu+],C O c 1 c c c ( N S ( = O ) ( = O ) C c 2 c c ( C ) o n 2 ) c c 1,C O c 1 c c c ( N ( c 2 c c c ( O C ) c c 2 ) S ( = O ) ( = O ) C c 2 c c ( C ) o n 2 ) c c 1
C O c 1 c c c ( B ( O ) O ) c c 1 . N S ( = O ) ( = O ) c 1 c c c c c 1 I > C C ( = O ) [O-] . C C ( = O ) [O-] . [Cu+2] . C C O C ( C ) = O,C O c 1 c c c ( B ( O ) O ) c c 1 . C C O C ( C ) = O . C C ( = O ) [O-] . C C ( = O ) [O-] . [Cu+2] . N S ( = O ) ( = O ) c 1 c c c c c 1 I,C O c 1 c c c ( N S ( = O ) ( = O ) c 2 c c c c c 2 I ) c c 1,C O c 1 c c c ( N ( c 2 c c c ( O C ) c c 2 ) S ( = O ) ( = O ) c 2 c c c c c 2 I ) c c 1
N S ( = O ) ( = O ) c 1 c c ( Cl ) c ( F ) c c 1 Cl . C O c 1 c c c ( B ( O ) O ) c c 1 > C C # N . C N ( C ) C C N ( C ) C . C N ( C ) C C N ( C ) C . [Cl-] . [Cl-] . [Cu+2] . [Cu+2] . [OH-] . [OH-] . C N ( C ) c 1 c c n c c 1,C N ( C ) c 1 c c n c c 1 . C N ( C ) C C N ( C ) C . C N ( C ) C C N ( C ) C . [Cl-] . [Cl-] . [Cu+2] . [Cu+2] . [OH-] . [OH-] . N S ( = O ) ( = O ) c 1 c c ( Cl ) c ( F ) c c 1 Cl . C O c 1 c c c ( B ( O ) O ) c c 1 . C C # N,C O c 1 c c c ( N S ( = O ) ( = O ) c 2 c c ( Cl ) c ( F ) c c 2 Cl ) c c 1,C O c 1 c c c ( N ( c 2 c c c ( O C ) c c 2 ) S ( = O ) ( = O ) c 2 c c ( Cl ) c ( F ) c c 2 Cl ) c c 1
c 1 n c ( c ( C ( N ( C ) C ) = O ) c c 1 ) S ( = O ) ( = O ) N . c 1 c ( O C ) c c c ( B ( O ) O ) c 1 > C C N ( C C ) C C . C O . F C ( S ( [O-] ) ( = O ) = O ) ( F ) F . S ( C ( F ) ( F ) F ) ( = O ) ( [O-] ) = O . [Cu+2],c 1 c ( O C ) c c c ( B ( O ) O ) c 1 . F C ( S ( [O-] ) ( = O ) = O ) ( F ) F . S ( C ( F ) ( F ) F ) ( = O ) ( [O-] ) = O . [Cu+2] . c 1 n c ( c ( C ( N ( C ) C ) = O ) c c 1 ) S ( = O ) ( = O ) N . C O . C C N ( C C ) C C,C O c 1 c c c ( N S ( = O ) ( = O ) c 2 n c c c c 2 C ( = O ) N ( C ) C ) c c 1,C O c 1 c c c ( N ( c 2 c c c ( O C ) c c 2 ) S ( = O ) ( = O ) c 2 n c c c c 2 C ( = O ) N ( C ) C ) c c 1
c 1 c ( O C ) c c c ( c 1 ) B ( O ) O . c 1 ( S ( N ) ( = O ) = O ) c c c 2 c ( c 1 ) C C C 2 > F C ( S ( = O ) ( [O-] ) = O ) ( F ) F . O = S ( = O ) ( [O-] ) C ( F ) ( F ) F . [Cu+2] . Cl C C Cl,c 1 c ( O C ) c c c ( c 1 ) B ( O ) O . c 1 ( S ( N ) ( = O ) = O ) c c c 2 c ( c 1 ) C C C 2 . F C ( S ( = O ) ( [O-] ) = O ) ( F ) F . O = S ( = O ) ( [O-] ) C ( F ) ( F ) F . [Cu+2] . Cl C C Cl,C O c 1 c c c ( N S ( = O ) ( = O ) c 2 c c c 3 c ( c 2 ) C C C 3 ) c c 1,C O c 1 c c c ( N ( c 2 c c c ( O C ) c c 2 ) S ( = O ) ( = O ) c 2 c c c 3 c ( c 2 ) C C C 3 ) c c 1
C O c 1 c c c ( B ( O ) O ) c c 1 . C O c 1 c c c c 2 c ( S ( N ) ( = O ) = O ) c c c c 1 2 > C C ( = O ) [O-] . C C ( = O ) [O-] . [Cu+2] . C C O C ( C ) = O,C O c 1 c c c ( B ( O ) O ) c c 1 . C O c 1 c c c c 2 c ( S ( N ) ( = O ) = O ) c c c c 1 2 . C C ( = O ) [O-] . C C ( = O ) [O-] . [Cu+2] . C C O C ( C ) = O,C O c 1 c c c ( N S ( = O ) ( = O ) c 2 c c c c 3 c ( O C ) c c c c 2 3 ) c c 1,C O c 1 c c c ( N ( c 2 c c c ( O C ) c c 2 ) S ( = O ) ( = O ) c 2 c c c c 3 c ( O C ) c c c c 2 3 ) c c 1
C ( S ( = O ) ( N ) = O ) C N ( C ) C . O B ( O ) c 1 c c c ( c c 1 ) C ( F ) ( F ) F > C O . C C N ( C ( C ) C ) C ( C ) C . C ( C N ( C ) C ) N ( C ) C . N ( C C N ( C ) C ) ( C ) C . [Cl-] . [Cl-] . [Cu+2] . [Cu+2] . [OH-] . [OH-],O B ( O ) c 1 c c c ( c c 1 ) C ( F ) ( F ) F . C ( C N ( C ) C ) N ( C ) C . N ( C C N ( C ) C ) ( C ) C . [Cl-] . [Cl-] . [Cu+2] . [Cu+2] . [OH-] . [OH-] . C O . C C N ( C ( C ) C ) C ( C ) C . C ( S ( = O ) ( N ) = O ) C N ( C ) C,C N ( C ) C C S ( = O ) ( = O ) N c 1 c c c ( C ( F ) ( F ) F ) c c 1,C N ( C ) C C S ( = O ) ( = O ) N ( c 1 c c c ( C ( F ) ( F ) F ) c c 1 ) c 1 c c c ( C ( F ) ( F ) F ) c c 1
n 1 c ( c c c c 1 S ( = O ) ( = O ) N ) F . C O c 1 c c c ( c c 1 ) B ( O ) O > C O . F C ( F ) ( S ( = O ) ( [O-] ) = O ) F . C ( S ( = O ) ( = O ) [O-] ) ( F ) ( F ) F . [Cu+2],C O . C O c 1 c c c ( c c 1 ) B ( O ) O . n 1 c ( c c c c 1 S ( = O ) ( = O ) N ) F . F C ( F ) ( S ( = O ) ( [O-] ) = O ) F . C ( S ( = O ) ( = O ) [O-] ) ( F ) ( F ) F . [Cu+2],C O c 1 c c c ( N S ( = O ) ( = O ) c 2 c c c c ( F ) n 2 ) c c 1,C O c 1 c c c ( N ( c 2 c c c ( O C ) c c 2 ) S ( = O ) ( = O ) c 2 c c c c ( F ) n 2 ) c c 1
O ( C C O C ) c 1 c c c c c 1 S ( = O ) ( N ) = O . c 1 c c ( C ( F ) ( F ) F ) c c c 1 B ( O ) O > C C O C ( C ) = O . C N ( C ) c 1 c c n c c 1 . C ( C N ( C ) C ) N ( C ) C . C ( C N ( C ) C ) N ( C ) C . [Cl-] . [Cl-] . [Cu+2] . [Cu+2] . [OH-] . [OH-],c 1 c c ( C ( F ) ( F ) F ) c c c 1 B ( O ) O . C C O C ( C ) = O . O ( C C O C ) c 1 c c c c c 1 S ( = O ) ( N ) = O . C N ( C ) c 1 c c n c c 1 . C ( C N ( C ) C ) N ( C ) C . C ( C N ( C ) C ) N ( C ) C . [Cl-] . [Cl-] . [Cu+2] . [Cu+2] . [OH-] . [OH-],C O C C O c 1 c c c c c 1 S ( = O ) ( = O ) N c 1 c c c ( C ( F ) ( F ) F ) c c 1,C O C C O c 1 c c c c c 1 S ( = O ) ( = O ) N ( c 1 c c c ( C ( F ) ( F ) F ) c c 1 ) c 1 c c c ( C ( F ) ( F ) F ) c c 1
c 1 c c ( O C ) c c c 1 B ( O ) O . n 1 ( c 2 c ( c ( S ( = O ) ( = O ) N ) c 1 ) c c c c 2 ) C > Cl C C Cl . C N ( C ) c 1 c c n c c 1 . C N ( C C N ( C ) C ) C . C ( C N ( C ) C ) N ( C ) C . [Cl-] . [Cl-] . [Cu+2] . [Cu+2] . [OH-] . [OH-],Cl C C Cl . n 1 ( c 2 c ( c ( S ( = O ) ( = O ) N ) c 1 ) c c c c 2 ) C . C N ( C C N ( C ) C ) C . C ( C N ( C ) C ) N ( C ) C . [Cl-] . [Cl-] . [Cu+2] . [Cu+2] . [OH-] . [OH-] . C N ( C ) c 1 c c n c c 1 . c 1 c c ( O C ) c c c 1 B ( O ) O,C O c 1 c c c ( N S ( = O ) ( = O ) c 2 c n ( C ) c 3 c c c c c 2 3 ) c c 1,C O c 1 c c c ( N ( c 2 c c c ( O C ) c c 2 ) S ( = O ) ( = O ) c 2 c n ( C ) c 3 c c c c c 2 3 ) c c 1
c 1 c c ( c c c 1 O C ) B ( O ) O . O = S ( c 1 c c ( c ( c c 1 ) O C C ) O C C ) ( = O ) N > C ( C ) # N . C C # N . N # C C . C ( C ) # N . F [P-] ( F ) ( F ) ( F ) ( F ) F . [Cu+] . C C N ( C ( C ) C ) C ( C ) C . Cl C C Cl,c 1 c c ( c c c 1 O C ) B ( O ) O . C ( C ) # N . C C # N . N # C C . C ( C ) # N . F [P-] ( F ) ( F ) ( F ) ( F ) F . [Cu+] . C C N ( C ( C ) C ) C ( C ) C . O = S ( c 1 c c ( c ( c c 1 ) O C C ) O C C ) ( = O ) N . Cl C C Cl,C C O c 1 c c c ( S ( = O ) ( = O ) N c 2 c c c ( O C ) c c 2 ) c c 1 O C C,C C O c 1 c c c ( S ( = O ) ( = O ) N ( c 2 c c c ( O C ) c c 2 ) c 2 c c c ( O C ) c c 2 ) c c 1 O C C
C ( O C ) C O c 1 c c c c c 1 S ( = O ) ( N ) = O . c 1 c ( c c c ( c 1 ) O C ) B ( O ) O > C N ( C ) C C N ( C ) C . C ( C N ( C ) C ) N ( C ) C . [Cl-] . [Cl-] . [Cu+2] . [Cu+2] . [OH-] . [OH-] . C O . O = P ( [O-] ) ( [O-] ) [O-] . [K+] . [K+] . [K+],c 1 c ( c c c ( c 1 ) O C ) B ( O ) O . C ( O C ) C O c 1 c c c c c 1 S ( = O ) ( N ) = O . C N ( C ) C C N ( C ) C . C ( C N ( C ) C ) N ( C ) C . [Cl-] . [Cl-] . [Cu+2] . [Cu+2] . [OH-] . [OH-] . O = P ( [O-] ) ( [O-] ) [O-] . [K+] . [K+] . [K+] . C O,C O C C O c 1 c c c c c 1 S ( = O ) ( = O ) N c 1 c c c ( O C ) c c 1,C O C C O c 1 c c c c c 1 S ( = O ) ( = O ) N ( c 1 c c c ( O C ) c c 1 ) c 1 c c c ( O C ) c c 1
O B ( O ) c 1 c c c ( C ( F ) ( F ) F ) c c 1 . C O C ( = O ) c 1 o c ( S ( N ) ( = O ) = O ) c c 1 C > C C # N . C C # N . C C # N . C C # N . F [P-] ( F ) ( F ) ( F ) ( F ) F . [Cu+] . C C # N,O B ( O ) c 1 c c c ( C ( F ) ( F ) F ) c c 1 . C C # N . C O C ( = O ) c 1 o c ( S ( N ) ( = O ) = O ) c c 1 C . C C # N . C C # N . C C # N . C C # N . F [P-] ( F ) ( F ) ( F ) ( F ) F . [Cu+],C O C ( = O ) c 1 o c ( S ( = O ) ( = O ) N c 2 c c c ( C ( F ) ( F ) F ) c c 2 ) c c 1 C,C O C ( = O ) c 1 o c ( S ( = O ) ( = O ) N ( c 2 c c c ( C ( F ) ( F ) F ) c c 2 ) c 2 c c c ( C ( F ) ( F ) F ) c c 2 ) c c 1 C
N S ( = O ) ( = O ) c 1 c c c ( - c 2 c c c c n 2 ) s 1 . C O c 1 c c c ( B ( O ) O ) c c 1 > C N ( C ) C C N ( C ) C . C N ( C ) C C N ( C ) C . [Cl-] . [Cl-] . [Cu+2] . [Cu+2] . [OH-] . [OH-] . Cl C C Cl . O = C ( [O-] ) [O-] . [K+] . [K+],Cl C C Cl . C N ( C ) C C N ( C ) C . C N ( C ) C C N ( C ) C . [Cl-] . [Cl-] . [Cu+2] . [Cu+2] . [OH-] . [OH-] . O = C ( [O-] ) [O-] . [K+] . [K+] . N S ( = O ) ( = O ) c 1 c c c ( - c 2 c c c c n 2 ) s 1 . C O c 1 c c c ( B ( O ) O ) c c 1,C O c 1 c c c ( N S ( = O ) ( = O ) c 2 c c c ( - c 3 c c c c n 3 ) s 2 ) c c 1,C O c 1 c c c ( N ( c 2 c c c ( O C ) c c 2 ) S ( = O ) ( = O ) c 2 c c c ( - c 3 c c c c n 3 ) s 2 ) c c 1
O = S ( N ) ( = O ) c 1 c c c 2 c ( c 1 ) C C C 2 . C O c 1 c c c ( B ( O ) O ) c c 1 > C O . C C N ( C C ) C C . F C ( S ( = O ) ( [O-] ) = O ) ( F ) F . F C ( F ) ( S ( = O ) ( [O-] ) = O ) F . [Cu+2],C C N ( C C ) C C . C O c 1 c c c ( B ( O ) O ) c c 1 . O = S ( N ) ( = O ) c 1 c c c 2 c ( c 1 ) C C C 2 . C O . F C ( S ( = O ) ( [O-] ) = O ) ( F ) F . F C ( F ) ( S ( = O ) ( [O-] ) = O ) F . [Cu+2],C O c 1 c c c ( N S ( = O ) ( = O ) c 2 c c c 3 c ( c 2 ) C C C 3 ) c c 1,C O c 1 c c c ( N ( c 2 c c c ( O C ) c c 2 ) S ( = O ) ( = O ) c 2 c c c 3 c ( c 2 ) C C C 3 ) c c 1
c 1 ( c c c ( c c 1 ) O C ) B ( O ) O . N S ( = O ) ( = O ) c 1 c ( c c c c 1 ) O C C O C > C N ( C ) c 1 c c n c c 1 . C C O C ( C ) = O . O = S ( = O ) ( C ( F ) ( F ) F ) [O-] . F C ( F ) ( S ( [O-] ) ( = O ) = O ) F . [Cu+2],O = S ( = O ) ( C ( F ) ( F ) F ) [O-] . F C ( F ) ( S ( [O-] ) ( = O ) = O ) F . [Cu+2] . N S ( = O ) ( = O ) c 1 c ( c c c c 1 ) O C C O C . c 1 ( c c c ( c c 1 ) O C ) B ( O ) O . C N ( C ) c 1 c c n c c 1 . C C O C ( C ) = O,C O C C O c 1 c c c c c 1 S ( = O ) ( = O ) N c 1 c c c ( O C ) c c 1,C O C C O c 1 c c c c c 1 S ( = O ) ( = O ) N ( c 1 c c c ( O C ) c c 1 ) c 1 c c c ( O C ) c c 1
